Android application is debugging.
07-24 21:05:23.341 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.Support.Android.dll.config'.
07-24 21:05:23.342 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/Acr.Support.Android/Acr.Support.Android.config'.
07-24 21:05:23.342 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll'.
07-24 21:05:23.343 D/Mono    (16256): Image addref Acr.UserDialogs[0xb098dc80] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll[0xb0a0d200]: 2
07-24 21:05:23.343 D/Mono    (16256): Prepared to set up assembly 'Acr.UserDialogs' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll)
07-24 21:05:23.343 D/Mono    (16256): Assembly Acr.UserDialogs[0xb098dc80] added to domain RootDomain, ref_count=1
07-24 21:05:23.344 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Acr.UserDialogs.dll.so" not found
07-24 21:05:23.346 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/Acr.UserDialogs.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Acr.UserDialogs.dll.so" not found
07-24 21:05:23.346 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll'.
07-24 21:05:23.347 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Acr.UserDialogs.dll.config'.
07-24 21:05:23.347 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/Acr.UserDialogs/Acr.UserDialogs.config'.
07-24 21:05:23.348 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll'.
07-24 21:05:23.349 D/Mono    (16256): Image addref AndHUD[0xb098dd40] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll[0xb0a0d700]: 2
07-24 21:05:23.349 D/Mono    (16256): Prepared to set up assembly 'AndHUD' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll)
07-24 21:05:23.349 D/Mono    (16256): Assembly AndHUD[0xb098dd40] added to domain RootDomain, ref_count=1
07-24 21:05:23.351 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-AndHUD.dll.so" not found
07-24 21:05:23.354 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/AndHUD.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-AndHUD.dll.so" not found
07-24 21:05:23.354 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll'.
07-24 21:05:23.355 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/AndHUD.dll.config'.
07-24 21:05:23.355 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/AndHUD/AndHUD.config'.
07-24 21:05:23.355 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll'.
07-24 21:05:23.356 D/Mono    (16256): Image addref Com.OneSignal.Abstractions[0xb098daa0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll[0xb0a0dc00]: 2
07-24 21:05:23.356 D/Mono    (16256): Prepared to set up assembly 'Com.OneSignal.Abstractions' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll)
07-24 21:05:23.356 D/Mono    (16256): Assembly Com.OneSignal.Abstractions[0xb098daa0] added to domain RootDomain, ref_count=1
07-24 21:05:23.358 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Com.OneSignal.Abstractions.dll.so" not found
07-24 21:05:23.360 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/Com.OneSignal.Abstractions.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Com.OneSignal.Abstractions.dll.so" not found
07-24 21:05:23.363 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll'.
07-24 21:05:23.364 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.Abstractions.dll.config'.
07-24 21:05:23.365 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/Com.OneSignal.Abstractions/Com.OneSignal.Abstractions.config'.
07-24 21:05:23.366 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll'.
07-24 21:05:23.370 D/Mono    (16256): Image addref Com.OneSignal[0xb098de60] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll[0xb0a0e600]: 2
07-24 21:05:23.371 D/Mono    (16256): Prepared to set up assembly 'Com.OneSignal' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll)
07-24 21:05:23.372 D/Mono    (16256): Assembly Com.OneSignal[0xb098de60] added to domain RootDomain, ref_count=1
07-24 21:05:23.374 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Com.OneSignal.dll.so" not found
07-24 21:05:23.375 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/Com.OneSignal.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-Com.OneSignal.dll.so" not found
07-24 21:05:23.377 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll'.
07-24 21:05:23.377 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/Com.OneSignal.dll.config'.
07-24 21:05:23.377 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/Com.OneSignal/Com.OneSignal.config'.
07-24 21:05:23.377 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll'.
07-24 21:05:23.379 D/Mono    (16256): Image addref CommonServiceLocator[0xb098dfe0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll[0x917ac000]: 2
07-24 21:05:23.379 D/Mono    (16256): Prepared to set up assembly 'CommonServiceLocator' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll)
07-24 21:05:23.379 D/Mono    (16256): Assembly CommonServiceLocator[0xb098dfe0] added to domain RootDomain, ref_count=1
07-24 21:05:23.381 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-CommonServiceLocator.dll.so" not found
07-24 21:05:23.384 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/CommonServiceLocator.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-CommonServiceLocator.dll.so" not found
07-24 21:05:23.385 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll'.
07-24 21:05:23.385 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/CommonServiceLocator.dll.config'.
07-24 21:05:23.385 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/CommonServiceLocator/CommonServiceLocator.config'.
07-24 21:05:23.385 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll'.
07-24 21:05:23.390 D/Mono    (16256): Image addref ExtendedCells.Forms.Plugin.Abstractions[0xb098d9e0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll[0x917ac500]: 2
07-24 21:05:23.390 D/Mono    (16256): Prepared to set up assembly 'ExtendedCells.Forms.Plugin.Abstractions' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll)
07-24 21:05:23.390 D/Mono    (16256): Assembly ExtendedCells.Forms.Plugin.Abstractions[0xb098d9e0] added to domain RootDomain, ref_count=1
07-24 21:05:23.392 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-ExtendedCells.Forms.Plugin.Abstractions.dll.so" not found
07-24 21:05:23.394 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/ExtendedCells.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-ExtendedCells.Forms.Plugin.Abstractions.dll.so" not found
07-24 21:05:23.396 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll'.
07-24 21:05:23.396 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Abstractions.dll.config'.
07-24 21:05:23.396 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/ExtendedCells.Forms.Plugin.Abstractions/ExtendedCells.Forms.Plugin.Abstractions.config'.
07-24 21:05:23.397 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll'.
07-24 21:05:23.398 D/Mono    (16256): Image addref ExtendedCells.Forms.Plugin.Android[0xb098dce0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll[0x917aca00]: 2
07-24 21:05:23.398 D/Mono    (16256): Prepared to set up assembly 'ExtendedCells.Forms.Plugin.Android' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll)
07-24 21:05:23.398 D/Mono    (16256): Assembly ExtendedCells.Forms.Plugin.Android[0xb098dce0] added to domain RootDomain, ref_count=1
07-24 21:05:23.400 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-ExtendedCells.Forms.Plugin.Android.dll.so" not found
07-24 21:05:23.401 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/ExtendedCells.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-ExtendedCells.Forms.Plugin.Android.dll.so" not found
07-24 21:05:23.403 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll'.
07-24 21:05:23.403 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/ExtendedCells.Forms.Plugin.Android.dll.config'.
07-24 21:05:23.403 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/ExtendedCells.Forms.Plugin.Android/ExtendedCells.Forms.Plugin.Android.config'.
07-24 21:05:23.405 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll'.
07-24 21:05:23.408 D/Mono    (16256): Image addref FastAndroidCamera[0xb098e160] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll[0x917acf00]: 2
07-24 21:05:23.410 D/Mono    (16256): Prepared to set up assembly 'FastAndroidCamera' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll)
07-24 21:05:23.411 D/Mono    (16256): Assembly FastAndroidCamera[0xb098e160] added to domain RootDomain, ref_count=1
07-24 21:05:23.412 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FastAndroidCamera.dll.so" not found
07-24 21:05:23.414 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/FastAndroidCamera.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FastAndroidCamera.dll.so" not found
07-24 21:05:23.415 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll'.
07-24 21:05:23.415 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FastAndroidCamera.dll.config'.
07-24 21:05:23.415 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/FastAndroidCamera/FastAndroidCamera.config'.
07-24 21:05:23.415 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll'.
07-24 21:05:23.422 D/Mono    (16256): Image addref FFImageLoading[0xb098e220] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll[0x917ad400]: 2
07-24 21:05:23.423 D/Mono    (16256): Prepared to set up assembly 'FFImageLoading' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll)
07-24 21:05:23.423 D/Mono    (16256): Assembly FFImageLoading[0xb098e220] added to domain RootDomain, ref_count=1
07-24 21:05:23.425 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.dll.so" not found
07-24 21:05:23.428 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/FFImageLoading.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.dll.so" not found
07-24 21:05:23.432 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll'.
07-24 21:05:23.432 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.dll.config'.
07-24 21:05:23.432 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/FFImageLoading/FFImageLoading.config'.
07-24 21:05:23.433 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll'.
07-24 21:05:23.435 D/Mono    (16256): Image addref FFImageLoading.Forms[0xb098e3a0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll[0x917ade00]: 2
07-24 21:05:23.435 D/Mono    (16256): Prepared to set up assembly 'FFImageLoading.Forms' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll)
07-24 21:05:23.435 D/Mono    (16256): Assembly FFImageLoading.Forms[0xb098e3a0] added to domain RootDomain, ref_count=1
07-24 21:05:23.437 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.Forms.dll.so" not found
07-24 21:05:23.439 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/FFImageLoading.Forms.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.Forms.dll.so" not found
07-24 21:05:23.441 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll'.
07-24 21:05:23.441 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.dll.config'.
07-24 21:05:23.441 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/FFImageLoading.Forms/FFImageLoading.Forms.config'.
07-24 21:05:23.442 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll'.
07-24 21:05:23.446 D/Mono    (16256): Image addref FFImageLoading.Forms.Platform[0xb098e040] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll[0x917ae800]: 2
07-24 21:05:23.446 D/Mono    (16256): Prepared to set up assembly 'FFImageLoading.Forms.Platform' (/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll)
07-24 21:05:23.446 D/Mono    (16256): Assembly FFImageLoading.Forms.Platform[0xb098e040] added to domain RootDomain, ref_count=1
07-24 21:05:23.448 D/Mono    (16256): AOT: image '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.Forms.Platform.dll.so" not found
07-24 21:05:23.449 D/Mono    (16256): AOT: image '/usr/local/lib/mono/aot-cache/x86/FFImageLoading.Forms.Platform.dll.so' not found: dlopen failed: library "/data/app/kagisohouse.co.za-YypTTZkpiyP-CVXWUIz2Aw==/lib/x86/libaot-FFImageLoading.Forms.Platform.dll.so" not found
07-24 21:05:23.453 D/Mono    (16256): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll'.
07-24 21:05:23.454 D/Mono    (16256): Config attempting to parse: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Forms.Platform.dll.config'.
07-24 21:05:23.454 D/Mono    (16256): Config attempting to parse: '/usr/local/etc/mono/assemblies/FFImageLoading.Forms.Platform/FFImageLoading.Forms.Platform.config'.
07-24 21:05:23.454 D/Mono    (16256): Assembly Loader probing location: '/storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Platform.dll'.
07-24 21:05:23.458 D/Mono    (16256): Image addref FFImageLoading.Platform[0xb098dda0] -> /storage/emulated/0/Android/data/kagisohouse.co.za/files/.__override__/FFImageLoading.Platform.dll[0x917af200]: 2
